game_id,game_date,sport,home_team,away_team,home_score,away_score,status,commence_time,venue
MLB_20210228_KANSASCITYROYALS_TEXASRANGERS,2021-02-28,MLB,Kansas City Royals,Texas Rangers,3.0,2.0,Final,,
MLB_20210228_TAMPABAYRAYS_ATLANTABRAVES,2021-02-28,MLB,Tampa Bay Rays,Atlanta Braves,9.0,7.0,Final,,
MLB_20210228_DETROITTIGERS_PHILADELPHIAPHILLIES,2021-02-28,MLB,Detroit Tigers,Philadelphia Phillies,10.0,2.0,Final,,
MLB_20210228_MINNESOTATWINS_BOSTONREDSOX,2021-02-28,MLB,Minnesota Twins,Boston Red Sox,7.0,6.0,Final,,
MLB_20210228_STLOUISCARDINALS_WASHINGTONNATIONALS,2021-02-28,MLB,St. Louis Cardinals,Washington Nationals,4.0,4.0,Final,,
MLB_20210228_NEWYORKYANKEES_TORONTOBLUEJAYS,2021-02-28,MLB,New York Yankees,Toronto Blue Jays,4.0,6.0,Final,,
MLB_20210228_BALTIMOREORIOLES_PITTSBURGHPIRATES,2021-02-28,MLB,Baltimore Orioles,Pittsburgh Pirates,4.0,6.0,Final,,
MLB_20210228_CHICAGOWHITESOX_MILWAUKEEBREWERS,2021-02-28,MLB,Chicago White Sox,Milwaukee Brewers,2.0,7.0,Final,,
MLB_20210228_COLORADOROCKIES_ARIZONADIAMONDBACKS,2021-02-28,MLB,Colorado Rockies,Arizona Diamondbacks,5.0,2.0,Final,,
MLB_20210228_SEATTLEMARINERS_SANDIEGOPADRES,2021-02-28,MLB,Seattle Mariners,San Diego Padres,5.0,4.0,Final,,
MLB_20210228_HOUSTONASTROS_MIAMIMARLINS,2021-02-28,MLB,Houston Astros,Miami Marlins,1.0,6.0,Final,,
MLB_20210228_OAKLANDATHLETICS_LOSANGELESDODGERS,2021-02-28,MLB,Oakland Athletics,Los Angeles Dodgers,1.0,2.0,Final,,
MLB_20210228_SANFRANCISCOGIANTS_LOSANGELESANGELS,2021-02-28,MLB,San Francisco Giants,Los Angeles Angels,2.0,5.0,Final,,
MLB_20210301_LOSANGELESANGELS_CHICAGOWHITESOX,2021-03-01,MLB,Los Angeles Angels,Chicago White Sox,4.0,4.0,Final,,
MLB_20210301_WASHINGTONNATIONALS_HOUSTONASTROS,2021-03-01,MLB,Washington Nationals,Houston Astros,6.0,7.0,Final,,
MLB_20210301_TAMPABAYRAYS_MINNESOTATWINS,2021-03-01,MLB,Tampa Bay Rays,Minnesota Twins,5.0,6.0,Final,,
MLB_20210301_PHILADELPHIAPHILLIES_BALTIMOREORIOLES,2021-03-01,MLB,Philadelphia Phillies,Baltimore Orioles,4.0,4.0,Final,,
