sport,confidence,total_bets,wins,losses,open_bets,total_wagered,total_profit,roi_pct,win_pct
NBA,HIGH,10,7,1,2,37.239999999999995,9.059999999999999,24.33,87.5
NBA,MEDIUM,13,4,4,5,30.659999999999997,2.7299999999999995,8.9,50.0
NBA,LOW,17,13,3,1,58.96999999999998,-3.6799999999999993,-6.24,81.25
NBA,,16,8,8,0,38.400000000000006,-1.3999999999999977,-3.65,50.0
NCAAB,HIGH,22,9,13,0,42.92000000000001,-21.92,-51.07,40.91
NCAAB,MEDIUM,53,38,14,1,92.91,2.590000000000002,2.79,73.08
NCAAB,LOW,15,12,3,0,26.949999999999996,-5.9499999999999975,-22.08,80.0
NCAAB,,14,8,6,0,40.13000000000001,-7.129999999999999,-17.77,57.14
NHL,HIGH,37,23,14,0,43.69,2.3100000000000005,5.29,62.16
NHL,MEDIUM,36,7,29,0,35.29999999999999,-20.3,-57.51,19.44
TENNIS,HIGH,52,29,21,1,163.0099999999999,-42.510000000000026,-26.08,58.0
TENNIS,MEDIUM,43,24,18,1,108.74,-18.699999999999996,-17.2,57.14
TENNIS,LOW,24,16,8,0,69.33,-17.330000000000002,-25.0,66.67
TENNIS,SUPER_HIGH,1,0,0,0,,,,
TENNIS,,37,9,28,0,44.98000000000001,-3.980000000000001,-8.85,24.32
UNKNOWN,HIGH,2,1,0,1,5.88,1.2400000000000002,21.09,100.0
UNKNOWN,MEDIUM,8,3,3,2,29.130000000000003,0.5199999999999998,1.79,50.0
UNKNOWN,LOW,1,0,0,1,1.76,,,
UNKNOWN,,1,0,0,1,5.5,,,
WNCAAB,,5,2,3,0,2.52,-0.5199999999999999,-20.63,40.0
